issue,kind,case_id,mode,issue_file,evidence
STREAD-009,query,syntax_literal_select,pruned,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_select.json
STREAD-009,query,syntax_literal_select,fullscan,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_select.json
STREAD-009,query,syntax_literal_select,stream,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_select.json
STREAD-009,query,syntax_literal_select,auto,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_select.json
STREAD-009,query,syntax_literal_select,query_sql,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_select.json
STREAD-009,query,syntax_literal_select_semicolon,pruned,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_select_semicolon.json
STREAD-009,query,syntax_literal_select_semicolon,fullscan,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_select_semicolon.json
STREAD-009,query,syntax_literal_select_semicolon,stream,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_select_semicolon.json
STREAD-009,query,syntax_literal_select_semicolon,auto,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_select_semicolon.json
STREAD-003,query,syntax_literal_select_semicolon,query_sql,003-query-helper-appends-limit-after-semicolon.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_select_semicolon.json
STREAD-009,query,syntax_literal_cte,pruned,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_cte.json
STREAD-009,query,syntax_literal_cte,fullscan,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_cte.json
STREAD-009,query,syntax_literal_cte,stream,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_cte.json
STREAD-009,query,syntax_literal_cte,auto,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_cte.json
STREAD-009,query,syntax_literal_cte,query_sql,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_cte.json
STREAD-009,query,syntax_literal_union,pruned,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_union.json
STREAD-009,query,syntax_literal_union,fullscan,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_union.json
STREAD-009,query,syntax_literal_union,stream,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_union.json
STREAD-009,query,syntax_literal_union,auto,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_union.json
STREAD-009,query,syntax_literal_union,query_sql,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_union.json
STREAD-009,query,syntax_literal_scalar_subquery,pruned,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_scalar_subquery.json
STREAD-009,query,syntax_literal_scalar_subquery,fullscan,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_scalar_subquery.json
STREAD-009,query,syntax_literal_scalar_subquery,stream,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_scalar_subquery.json
STREAD-009,query,syntax_literal_scalar_subquery,auto,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_scalar_subquery.json
STREAD-009,query,syntax_literal_scalar_subquery,query_sql,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_scalar_subquery.json
STREAD-009,query,syntax_literal_cte_declared_columns,pruned,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_cte_declared_columns.json
STREAD-009,query,syntax_literal_cte_declared_columns,fullscan,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_cte_declared_columns.json
STREAD-009,query,syntax_literal_cte_declared_columns,stream,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_cte_declared_columns.json
STREAD-009,query,syntax_literal_cte_declared_columns,auto,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_cte_declared_columns.json
STREAD-009,query,syntax_literal_cte_declared_columns,query_sql,009-table-free-selects-unsupported.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_literal_cte_declared_columns.json
STREAD-002,query,syntax_offset_fetch_next,query_sql,002-query-helper-overwrites-row-limits.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_offset_fetch_next.json
STREAD-002,query,syntax_fetch_first,query_sql,002-query-helper-overwrites-row-limits.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_fetch_first.json
STREAD-002,query,syntax_limit_parenthesized,query_sql,002-query-helper-overwrites-row-limits.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_limit_parenthesized.json
STREAD-002,query,syntax_offset_parenthesized,query_sql,002-query-helper-overwrites-row-limits.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_offset_parenthesized.json
STREAD-007,query,syntax_limit_all,pruned,007-limit-all-treated-as-column.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_limit_all.json
STREAD-007,query,syntax_limit_all,fullscan,007-limit-all-treated-as-column.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_limit_all.json
STREAD-007,query,syntax_limit_all,stream,007-limit-all-treated-as-column.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_limit_all.json
STREAD-007,query,syntax_limit_all,auto,007-limit-all-treated-as-column.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_limit_all.json
STREAD-005,query,syntax_grouping_sets_no_limit,query_sql,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_sets_no_limit.json
STREAD-005,query,syntax_grouping_sets_explicit_limit,pruned,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_sets_explicit_limit.json
STREAD-005,query,syntax_grouping_sets_explicit_limit,fullscan,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_sets_explicit_limit.json
STREAD-005,query,syntax_grouping_sets_explicit_limit,stream,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_sets_explicit_limit.json
STREAD-005,query,syntax_grouping_sets_explicit_limit,auto,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_sets_explicit_limit.json
STREAD-005,query,syntax_grouping_sets_explicit_limit,query_sql,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_sets_explicit_limit.json
STREAD-005,query,syntax_grouping_rollup_no_limit,query_sql,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_rollup_no_limit.json
STREAD-005,query,syntax_grouping_rollup_explicit_limit,pruned,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_rollup_explicit_limit.json
STREAD-005,query,syntax_grouping_rollup_explicit_limit,fullscan,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_rollup_explicit_limit.json
STREAD-005,query,syntax_grouping_rollup_explicit_limit,stream,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_rollup_explicit_limit.json
STREAD-005,query,syntax_grouping_rollup_explicit_limit,auto,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_rollup_explicit_limit.json
STREAD-005,query,syntax_grouping_rollup_explicit_limit,query_sql,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_rollup_explicit_limit.json
STREAD-005,query,syntax_grouping_cube_no_limit,query_sql,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_cube_no_limit.json
STREAD-005,query,syntax_grouping_cube_explicit_limit,pruned,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_cube_explicit_limit.json
STREAD-005,query,syntax_grouping_cube_explicit_limit,fullscan,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_cube_explicit_limit.json
STREAD-005,query,syntax_grouping_cube_explicit_limit,stream,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_cube_explicit_limit.json
STREAD-005,query,syntax_grouping_cube_explicit_limit,auto,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_cube_explicit_limit.json
STREAD-005,query,syntax_grouping_cube_explicit_limit,query_sql,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_grouping_cube_explicit_limit.json
STREAD-002,query,syntax_limit_comment_between_keyword_and_count,query_sql,002-query-helper-overwrites-row-limits.md,../audit/sql_read_matrix_2026-09-14/failures/syntax_limit_comment_between_keyword_and_count.json
STREAD-011,additional,ingest_events,setup,011-decimal-ingestion-statistics-failure.md,../audit/sql_read_matrix_2026-09-14/runs/04_supertable-sql-numeric-review/results.json
STREAD-001,additional,lifecycle_path_only_leaf_pruned,pruned,001-snapshot-fallback-loses-deletions-and-share-filters.md,../audit/sql_read_matrix_2026-09-14/runs/02_supertable-sql-controls-reviewed/results.json
STREAD-001,additional,lifecycle_path_only_leaf_stream,stream,001-snapshot-fallback-loses-deletions-and-share-filters.md,../audit/sql_read_matrix_2026-09-14/runs/02_supertable-sql-controls-reviewed/results.json
STREAD-001,additional,lifecycle_path_only_share_filter_pruned,pruned,001-snapshot-fallback-loses-deletions-and-share-filters.md,../audit/sql_read_matrix_2026-09-14/runs/02_supertable-sql-controls-reviewed/results.json
STREAD-001,additional,lifecycle_path_only_share_filter_stream,stream,001-snapshot-fallback-loses-deletions-and-share-filters.md,../audit/sql_read_matrix_2026-09-14/runs/02_supertable-sql-controls-reviewed/results.json
